Age,d18O
125,6.6
125,6.6
126,3.53
126,3.53
126,4.92
126,4.92
126,5.87
126,5.87
126,4.2
126,4.2
126,4.3
126,4.3
126,4.5
126,4.5
126,4.6
126,4.6
126,4.7
126,4.7
126,4.8
126,4.8
126,5.8
126,5.8
126,6.3
126,6.3
126,8.03
126,8.03
126,6.3
126,6.3
126,6.3
126,6.3
126,4.79
126,4.79
126,4.81
126,4.81
126,4.86
126,4.86
126,4.88
126,4.88
126,4.93
126,4.93
126,4.96
126,4.96
126,4.98
126,4.98
126,4.98
126,4.98
126,4.99
126,4.99
126,5.03
126,5.03
126,5.03
126,5.03
126,5.05
126,5.05
126,5.06
126,5.06
126,5.13
126,5.13
127,4.1
127,4.1
127,4.3
127,4.3
127,4.3
127,4.3
127,4.5
127,4.5
127,4.6
127,4.6
127,4.6
127,4.6
127,4.6
127,4.6
127,4.9
127,4.9
127,5.5
127,5.5
127,5.7
127,5.7
127,5.7
127,5.7
127,6.2
127,6.2
127,6.2
127,6.2
127,5.7
127,5.7
127,5.8
127,5.8
127,5.8
127,5.8
127,5.8
127,5.8
127,5.9
127,5.9
128,3.48
128,3.48
128,4.11
128,4.11
128,4.19
128,4.19
128,4.1
128,4.1
128,4.5
128,4.5
128,4.6
128,4.6
128,5.1
128,5.1
128,5.5
128,5.5
128,5.6
128,5.6
128,5.9
128,5.9
128,6
128,6
128,6.1
128,6.1
128,6.3
128,6.3
128,6.7
128,6.7
128,6.5
128,6.5
129,2.5
129,2.5
129,4
129,4
129,4.2
129,4.2
129,4.8
129,4.8
129,6
129,6
129,5.9
129,5.9
129,6
129,6
129,6.2
129,6.2
129,7.94
129,7.94
130,2
130,2
130,2.1
130,2.1
130,2.2
130,2.2
130,4.4
130,4.4
130,4.4
130,4.4
130,5.5
130,5.5
130,5.7
130,5.7
130,5.8
130,5.8
130,5.9
130,5.9
130,7.3
130,7.3
130,5.7
130,5.7
130,6
130,6
130,6.5
130,6.5
130,6.5
130,6.5
130,6.7
130,6.7
131,4.45
131,4.45
131,8.98
131,8.98
131,2.3
131,2.3
131,5.5
131,5.5
131,5.6
131,5.6
131,5.7
131,5.7
131,6
131,6
131,6.4
131,6.4
131,6.1
131,6.1
131,6.2
131,6.2
131,6.3
131,6.3
131,6.4
131,6.4
131,7.42
131,7.42
132,5.2
132,5.2
132,5.9
132,5.9
132,5.6
132,5.6
132,5.9
132,5.9
132,6
132,6
132,6.1
132,6.1
132,6.1
132,6.1
132,6.6
132,6.6
133,4.11
133,4.11
133,5.76
133,5.76
133,2.5
133,2.5
133,4.847302015
133,4.847302015
133,5.680011969
133,5.680011969
133,6.155575504
133,6.155575504
133,6.202029723
133,6.202029723
133,6.272371833
133,6.272371833
133,6.283536555
133,6.283536555
133,6.316419808
133,6.316419808
133,6.345531618
133,6.345531618
133,6.350069818
133,6.350069818
133,6.363142081
133,6.363142081
133,6.388071015
133,6.388071015
133,6.411510074
133,6.411510074
133,6.424763116
133,6.424763116
133,6.431458209
133,6.431458209
133,6.432854578
133,6.432854578
133,6.448912827
133,6.448912827
133,6.45380012
133,6.45380012
133,6.456892081
133,6.456892081
133,6.464472372
133,6.464472372
133,6.477759255
133,6.477759255
133,6.499381608
133,6.499381608
133,6.49963096
133,6.49963096
133,6.500711483
133,6.500711483
133,6.506238779
133,6.506238779
133,6.52491522
133,6.52491522
133,6.526910034
133,6.526910034
133,6.540898663
133,6.540898663
133,6.569399561
133,6.569399561
133,6.579289233
133,6.579289233
133,6.585258328
133,6.585258328
133,6.602684449
133,6.602684449
133,6.625825581
133,6.625825581
133,6.633233593
133,6.633233593
133,6.63577698
