Age,Hf
2568,-6.9
2568,-7.3
2567,-3.1
2566,-1.9
2565,-1.0
2564,6.2
2563,-0.4
2562,-4.9
2562,3.9
2562,-2.9
2561,-6.3
2559,-0.2
2559,-0.9
2558,-3.1
2558,-4.4
2557,-4.7
2557,4.3
2557,4.8
2557,-6.1
2557,-7.7
2556,-5.2
2555,-3.2
2555,0.6
2554,0.7
2554,-12.4
2553,-3.5
2553,7.5
2553,-4.2
2552,-3.9
2552,2.8
2551,-5.4
2551,0.6
2550,-7.8
2550,-0.7
2550,-3.9
2550,1.4
2549,-9.4
2549,-5.8
2549,-3.4
2548,-0.2
2548,-0.7
2547,2.2
2545,-1.9
2545,4.9
2545,-2.6
2545,0.8
2545,0.2
2545,-2.1
2542,5.8
2542,-1.6
2542,-5.5
2541,-0.4
2540,-4.5
2540,4.8
2540,2.7
2540,-7.4
2539,7.0
2538,-4.7
2538,-3.2
2538,3.7
2538,6.3
2538,-6.8
2537,-2.6
2537,3.3
2537,5.8
2536,3.9
2535,-3.5
2535,1.5
2534,-1.4
2534,3.5
2534,1.7
2533,6.3
2533,0.8
2532,7.7
2532,3.6
2532,-18.9
2531,-19.0
2530,-2.0
2530,8.4
2530,-5.2
2530,1.0
2530,-3.6
2530,3.0
2529,-6.7
2529,-1.4
2528,5.8
2527,-11.3
2527,-2.1
2526,5.0
2526,5.3
2525,5.9
2525,-5.1
2524,-0.7
2524,2.8
2524,1.6
2523,6.6
2523,1.3
2521,-1.4
2521,4.8
2521,-4.1
2521,-2.7
2520,6.6
2519,-4.0
2519,-1.7
2518,-2.4
2518,-5.3
2518,-3.9
2518,-5.5
2518,-3.5
2518,-1.3
2517,-7.9
2516,-2.7
2516,-3.6
2516,6.2
2516,-1.6
2516,0.6
2516,-9.0
2515,-3.7
2515,-4.1
2514,-3.1
2514,-5.6
2514,-6.7
2512,5.6
2512,-0.2
2511,-2.5
2510,-3.6
2510,-6.0
2510,1.8
2509,5.0
2508,-1.9
2508,-1.3
2507,-3.0
2507,1.9
2507,0.6
2506,-16.3
2506,0.2
2506,-0.4
2506,-2.1
2506,-8.7
2505,-13.1
2504,-4.2
2504,-0.8
2503,-11.2
2503,-0.2
2503,1.0
2502,-1.1
2502,1.8
2502,0.1
2501,-1.8
2499,-5.6
2498,-1.9
2497,-2.2
2497,2.6
2495,-29.8
2494,2.6
2494,-11.2
2494,4.7
2494,-5.9
2493,0.3
2493,1.8
2492,-14.8
2492,2.3
2491,-3.2
2491,-11.9
2491,0.7
2490,-7.5
2489,-2.1
2489,-1.1
2488,3.7
2488,6.4
2488,4.7
2488,6.0
2487,-11.1
2487,-3.4
2485,-4.8
2485,4.4
2485,-3.0
2485,6.6
2484,-9.1
2483,-2.4
2483,-0.3
2483,2.7
2483,-4.7
2481,-1.3
2480,0.1
2480,-3.5
2480,4.6
2479,-7.1
2479,5.3
2478,-0.9
2478,-2.2
2478,-11.3
2477,-6.8
2477,3.6
2476,-6.3
2476,-6.5
2476,-4.4
2476,-7.4
2475,-7.4
2475,-14.7
2475,5.0
2474,-0.9
2474,1.9
2473,9.7
2472,-4.6
2472,-2.6
2472,-8.6
2472,-6.2
2472,6.4
2472,3.9
2472,3.4
2471,-4.4
2471,0.7
2471,0.8
2471,4.4
2469,-7.7
2469,-3.9
2469,1.6
2468,3.1
2467,-4.1
2467,3.4
2467,2.7
2467,4.4
2467,5.3
2467,-2.6
2466,-1.0
2466,-0.3
2466,6.3
2465,-10.6
2465,-1.5
2465,0.0
2464,-17.5
2464,-4.8
2464,-4.2
2464,-0.6
2464,-4.6
2463,-5.0
2463,1.3
2463,0.3
2462,6.6
2462,0.1
2461,4.8
2461,7.8
2460,-13.0
2460,-6.1
2460,-3.1
2460,-4.0
2459,-4.6
2459,1.1
2459,5.1
2458,-6.2
2458,-3.1
2458,2.1
2458,3.7
2457,-2.8
2457,-8.7
2456,-5.2
2456,-5.5
2456,-5.9
2456,-4.8
2456,-0.9
2455,-1.0
2455,-2.0
2454,-1.5
2453,-3.6
2453,-9.2
2453,0.2
2452,-4.7
2452,3.8
2452,-7.5
2452,-7.9
2451,-3.4
2451,0.0
2450,0.0
2450,-1.2
2450,-2.1
2450,-5.9
2449,-4.0
2449,2.6
2449,-5.4
2449,-4.5
2449,-0.4
2448,12.1
2447,-1.9
2447,-3.6
2447,2.1
2447,-15.4
2446,-4.1
2446,-0.3
2445,-5.7
2444,-1.1
2444,-5.2
2443,-1.0
2442,5.3
2441,-0.2
2441,0.2
2440,-0.8
2440,-2.9
2439,-3.6
2437,-2.9
2437,-2.7
2436,-13.0
2436,-0.9
2436,-2.6
2436,-6.5
2436,-1.7
2435,1.1
2434,-6.4
2434,-15.3
2433,1.2
2432,-5.7
2432,4.7
2431,-0.4
2431,1.2
2430,-4.9
2430,-8.5
2430,-0.6
2428,-1.6
2428,-1.5
2427,-0.8
2427,-2.5
2427,-0.3
2425,1.6
2425,-11.1
2425,4.0
2424,-0.2
2424,-0.4
2421,-3.5
2419,8.6
2419,2.9
2416,-7.9
2416,-5.4
2415,-1.9
2414,-0.5
2413,-2.3
2412,1.0
2410,-6.5
2410,-6.9
2409,-4.7
2409,-1.2
2408,-2.4
2408,3.8
2407,-0.3
2406,2.7
2404,-3.2
2400,7.7
2400,-7.1
2398,-8.5
2398,-3.1
2398,3.2
2397,1.7
2389,-1.1
2389,1.8
2387,-8.2
2385,-2.2
2382,2.2
2382,-3.8
2381,-3.8
2381,-1.9
2379,-0.5
2378,-6.8
2376,-2.3
2366,1.9
2366,-8.4
2366,-6.3
2366,2.1
2364,-2.9
2364,-4.1
2362,-7.3
2359,-1.6
2359,0.2
2358,-10.0
2358,-6.7
2357,-6.4
2357,-0.2
2357,1.0
2354,-3.0
2353,6.2
2353,-1.4
2352,0.8
2350,1.4
2349,3.3
2345,3.7
2345,-0.2
2345,-0.9
2344,2.8
2343,-1.8
2342,-13.4
2341,-11.4
2340,-11.7
2340,-6.7
2336,8.7
2335,-1.1
2335,1.1
2335,2.3
2330,-1.7
2330,1.2
2329,0.0
2328,-0.6
2328,-1.0
2327,0.4
2326,-1.2
2325,-12.3
2325,-3.4
2323,-8.1
2323,-1.2
2320,4.7
2319,-2.3
2318,2.6
2318,1.9
2317,5.4
2316,2.8
2316,0.7
2313,-3.0
2312,-18.6
2306,6.6
2303,8.7
2303,2.6
2302,-7.9
2302,-0.6
2301,-3.0
2298,5.0
2298,-4.3
2296,2.2
2293,-3.0
2293,-5.4
2293,-4.1
2292,1.1
2291,1.8
2288,6.4
2288,0.3
2286,11.0
2284,6.1
2284,-2.0
2282,-2.9
2282,-3.7
2282,3.2
2280,-10.5
2280,1.5
2278,-3.3
2278,-8.5
2276,-2.3
2275,0.8
2275,0.4
2274,2.2
2273,6.2
2272,2.9
2271,-2.4
2271,3.0
2270,-6.7
2270,-0.9
2268,5.4
2267,-2.4
2265,-2.2
2263,4.6
2263,1.6
2262,-3.6
2262,0.8
2261,4.8
2260,-3.0
2260,-2.6
2260,1.6
2259,3.0
2259,-8.5
2256,-7.4
2256,-3.2
2254,-1.7
2253,5.7
2253,-3.8
2252,6.4
2250,7.4
2249,-2.9
