Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
75.8,0.1040518367476981,0.3994434708156631,0.8980195093112622,0.7883834473496275,0.3947771738492721,0.1833927498384274,0.0047592067988668,0.5074250478453386,0.1398870175862412,0.3388899628210031,0.0645008671421939,0.4959999999999998,0.2692880533048191,0.4810295003447947,0.0,0.018,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.75,0.1040518367476981,0.3994434708156631,0.8970341905606464,0.7858642026752184,0.3944868082087292,0.1836875645571755,0.0048158640226628,0.5070621880683427,0.1396837459397674,0.3395576868663622,0.0664120752259294,0.4900000000000001,0.2680584099756319,0.4774833493391957,0.0,0.0175,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.7,0.1040518367476981,0.3994434708156631,0.8960488718100306,0.7833449580008093,0.3941964425681864,0.1839823792759236,0.0048725212464589,0.5066993282913469,0.139480474293293,0.3402287940211117,0.064629098067229,0.4840000000000004,0.2669454676765879,0.4733400365506747,0.0,0.017,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.65,0.1040518367476981,0.3994434708156631,0.8950635530594148,0.7808257133263999,0.3939060769276433,0.1842771939946716,0.0049291784702549,0.506336468514351,0.1392772026468193,0.3409032462733291,0.0665409505669229,0.4780000000000008,0.2656904624668542,0.4689158624874372,0.0,0.0165,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.60000000000002,0.1040518367476981,0.3994434708156631,0.8940782343087991,0.7783064686519908,0.3936157112871003,0.1845720087134196,0.0049858356940509,0.505973608737355,0.139073931000345,0.3415826381193133,0.0666080561012906,0.4720000000000002,0.264456081595214,0.4642134354436345,0.0,0.016,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.55,0.1040518367476981,0.3994434708156631,0.893092915558183,0.7757872239775817,0.3933253456465575,0.1848668234321678,0.005042492917847,0.5056107489603591,0.1388706593538713,0.3422620299652976,0.0666751616377124,0.4659999999999997,0.2632217007235739,0.4595110083998318,0.0,0.0155,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.5,0.1040518367476981,0.3994434708156631,0.8921075968075672,0.7732679793031724,0.3930349800060144,0.1851616381509159,0.005099150141643,0.5052478891833633,0.1386673877073976,0.3429462793437321,0.0704352071245071,0.4600000000000001,0.2620957616367174,0.4554659057512856,0.0,0.015,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.45,0.1040518367476981,0.3994434708156631,0.8911222780569514,0.7707487346287633,0.3927446143654713,0.185456452869664,0.005155807365439,0.5048850294063674,0.1384641160609231,0.3436337105180978,0.0742036956197159,0.4540000000000004,0.261133704251791,0.4517800375736515,0.0,0.0145,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.4,0.1040518367476981,0.3994434708156631,0.8901369593063356,0.768229489954354,0.3924542487249285,0.185751267588412,0.0052124645892351,0.5045221696293716,0.1382608444144493,0.3443242787628036,0.0779684154473039,0.4480000000000008,0.2601366781702941,0.4476711225732201,0.0,0.014,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.35000000000002,0.1040518367476981,0.3994434708156631,0.8891516405557198,0.7657102452799448,0.3921638830843855,0.1860460823071601,0.0052691218130311,0.5041593098523754,0.1380575727679751,0.3450194599016029,0.0826572044075589,0.4420000000000003,0.2592155177804209,0.4430288497834421,0.0,0.0135,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.3,0.1040518367476981,0.3994434708156631,0.8881663218051039,0.7631910006055356,0.3918735174438425,0.1863408970259082,0.0053257790368272,0.5037964500753797,0.1378543011215011,0.3457146410404022,0.0873459933678139,0.4359999999999998,0.2582943573905478,0.4383865769936641,0.0,0.013,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.25,0.1040518367476981,0.3994434708156631,0.8871810030544881,0.7606717559311265,0.3915831518032996,0.1866357117446563,0.0053824362606232,0.5034335902983837,0.1376510294750269,0.3464143380873483,0.0911115875341597,0.4300000000000001,0.2574705631902146,0.4339895273173411,0.0,0.0125,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.2,0.1040518367476981,0.3994434708156631,0.8861956843038723,0.7581525112567171,0.3912927861627566,0.1869305264634044,0.0054390934844192,0.503070730521388,0.1374477578285531,0.3471169786674389,0.0930302089957113,0.4240000000000004,0.2567063853977739,0.429750400883427,0.0,0.012,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.15,0.1040518367476981,0.3994434708156631,0.8852103655532565,0.755633266582308,0.3910024205222136,0.1872253411821524,0.0054957507082152,0.502707870744392,0.1372444861820791,0.3478225093611237,0.0930937143683539,0.4180000000000008,0.2558952569510954,0.4249432380328681,0.0,0.0115,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.10000000000002,0.1040518367476981,0.3994434708156631,0.8842250468026407,0.7531140219078989,0.3907120548816705,0.1875201559009005,0.0055524079320113,0.5023450109673959,0.1370412145356053,0.3485322653190634,0.0922380662425396,0.4120000000000002,0.2548832297894055,0.4196063101288406,0.0,0.011,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.05,0.1040518367476981,0.3994434708156631,0.8832397280520249,0.7505947772334896,0.3904216892411277,0.1878149706196486,0.0056090651558073,0.5019821511904001,0.1368379428891307,0.3492420212770032,0.0913824181167182,0.4059999999999997,0.2538712026277158,0.4142693822248131,0.0,0.0105,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
