Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level,TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
2.55,0.044236069,0.150360986,0.897039117,0.009391741,0.024524899,0.951561301,0.058434844,0.048984597,0.199011363,0.955050943,0.105022803,0.204,0.45531003,0.366013211,0.186363636,0.3935,0.025974026,0.768025362,0.247058824,-0.166045549
2.5,0.044236069,0.150360986,0.895211351,0.009454773,0.022935669,0.954516457,0.058427762,0.04802995,0.198019384,0.955603247,0.106927025,0.2,0.469159781,0.358191597,0.181818182,0.395,0.025974026,0.768025362,0.247058824,-0.166045549
2.45,0.044236069,0.150360986,0.893383585,0.009517805,0.021346438,0.957471612,0.05842068,0.047075303,0.197027406,0.956240521,0.112533895,0.196,0.462230933,0.337137138,0.177272727,0.3965,0.025974026,0.768025362,0.247058824,-0.166045549
2.4,0.044236069,0.150360986,0.891555818,0.009580836,0.019757208,0.960426768,0.058413598,0.046120656,0.196035428,0.956877795,0.116293511,0.192,0.467302006,0.351700793,0.172727273,0.398,0.025974026,0.768025362,0.247058824,-0.166045549
2.35,0.044236069,0.150360986,0.889728052,0.009643868,0.018167977,0.963381923,0.058406516,0.045166009,0.195043449,0.957515069,0.120053126,0.188,0.472373078,0.366264447,0.168181818,0.3995,0.025974026,0.768025362,0.247058824,-0.166045549
2.3,0.044236069,0.150360986,0.887900286,0.0097069,0.016578747,0.966337079,0.058399433,0.044211362,0.194051471,0.958194828,0.118268943,0.184,0.459454978,0.355931379,0.163636364,0.401,0.025974026,0.768025362,0.247058824,-0.166045549
2.25,0.044236069,0.150360986,0.886072519,0.009769932,0.014989517,0.969292234,0.058392351,0.043256715,0.193059492,0.958874587,0.11648476,0.18,0.446536878,0.345598311,0.159090909,0.4025,0.023809524,0.771047431,0.247058824,-0.166045549
2.2,0.044236069,0.150360986,0.884244753,0.009832964,0.013400286,0.972247389,0.058385269,0.042302068,0.192067514,0.959596831,0.114706681,0.176,0.428324426,0.314764286,0.154545455,0.404,0.023809524,0.771047431,0.247058824,-0.166045549
2.15,0.044236069,0.150360986,0.882416987,0.009895995,0.011811056,0.975202545,0.058378187,0.041347421,0.191075535,0.96036156,0.112928601,0.172,0.336646173,0.194216072,0.15,0.4055,0.017316017,0.658423913,0.247058824,-0.166045549
2.1,0.044236069,0.150360986,0.880589221,0.009959027,0.010221825,0.9781577,0.058371105,0.040392774,0.190083557,0.961126288,0.118547679,0.168,0.37562778,0.209031451,0.145454545,0.407,0.017316017,0.658423913,0.247058824,-0.166045549
2.05,0.044236069,0.150360986,0.878761454,0.010022059,0.008632595,0.981112856,0.058364023,0.039438127,0.189091579,0.961848532,0.124166756,0.164,0.389434229,0.236226985,0.140909091,0.4085,0.017316017,0.658423913,0.247058824,-0.166045549
